Run_ID,AssayType,DIV,Well,NeuronType,Time,Chip_ID,Mean_FiringRate,Mean_SpikeAmplitude,Active_area,Mean_ISI,Std_ISI,Mean_ISI_CV,Mean_Fano,CHIP_WELL,is_outlier,expected_y,resid_expected,is_bad_residual,to_exclude
40,Sparse7x,13,3,MxWT,5/28/24 13:25,M07427,1.867059976,82.1553279,83.78787879,3.566270846,3.122207286,1.49673169,3.808166176,M07427_3,False,74.96969697,8.818181819999992,False,False
40,Sparse7x,13,4,FxHET,5/28/24 13:25,M07427,1.996485579,93.66784338,91.75757576,2.337112914,2.581363579,1.857313607,5.865676877,M07427_4,False,78.30303030333333,13.454545456666665,False,False
40,Sparse7x,13,5,FxHET,5/28/24 13:25,M07427,2.255376476,92.66781625,92.36363636,2.013682306,2.370052716,2.024875319,6.697386446,M07427_5,False,78.30303030333333,14.060606056666671,False,False
40,Sparse7x,13,6,MxWT,5/28/24 13:25,M07427,2.188353585,85.81079207,88.53030303,2.719659873,2.548275491,1.54787456,4.221610608,M07427_6,False,74.96969697,13.560606059999998,False,False
44,Sparse7x,13,1,MxHEMI,5/28/24 14:40,M08018,2.491927224,79.11260563,84.3030303,3.045704648,3.040133305,1.768280192,5.495241395,M08018_1,False,75.805555555,8.497474745000005,False,False
44,Sparse7x,13,2,MxWT,5/28/24 14:40,M08018,2.158544105,79.86092575,80.27272727,3.993908567,3.144942829,1.43841963,3.63684161,M08018_2,False,74.96969697,5.303030300000003,False,False
44,Sparse7x,13,3,FxHET,5/28/24 14:40,M08018,2.032702978,75.48158286,81.90909091,3.670698975,3.961741163,1.930277165,5.720182473,M08018_3,False,78.30303030333333,3.6060606066666736,False,False
44,Sparse7x,13,4,MxHEMI,5/28/24 14:40,M08018,1.596297262,78.32493926,72.66666667,4.687591177,4.56389684,1.802125689,5.170008202,M08018_4,False,75.805555555,-3.138888885,False,False
44,Sparse7x,13,5,MxWT,5/28/24 14:40,M08018,1.625770773,90.05347214,84.36363636,3.763873637,3.320447414,1.457798894,3.760916539,M08018_5,False,74.96969697,9.39393939,False,False
44,Sparse7x,13,6,FxHET,5/28/24 14:40,M08018,2.633337712,83.46143068,86.51515152,2.91939184,2.724448582,1.77358052,5.316835788,M08018_6,False,78.30303030333333,8.212121216666674,False,False
